codigo_4,descripcion;
A00.0,COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE;
A00.1,COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR;
A00.9,COLERA, NO ESPECIFICADO;
A01.0,FIEBRE TIFOIDEA;
A01.1,FIEBRE PARATIFOIDEA A;
A01.2,FIEBRE PARATIFOIDEA B;
A01.3,FIEBRE PARATIFOIDEA C;
A01.4,FIEBRE PARATIFOIDEA, NO ESPECIFICADA;
A02.0,ENTERITIS DEBIDA A SALMONELLA;
A02.1,SEPSIS DEBIDA A SALMONELLA;
A02.2,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA;
A02.8,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA;
A02.9,INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA;
A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE;
A03.1,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI;
A03.2,SHIGELOSIS DEBIDA A SHIGELLA BOYDII;
A03.3,SHIGELOSIS DEBIDA A SHIGELLA SONNEI;
A03.8,OTRAS SHIGELOSIS;
A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO;
A04.0,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA;
A04.1,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA;
A04.2,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA;
A04.3,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA;
A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI;
A04.5,ENTERITIS DEBIDA A CAMPYLOBACTER;
A04.6,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA;
A04.7,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE;
A04.8,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS;
A04.9,INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA;
A05.0,INTOXICACION ALIMENTARIA ESTAFILOCOCICA;
A05.1,BOTULISMO;
A05.2,INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII];
A05.3,INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS;
A05.4,INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS;
A05.8,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS;
A05.9,INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA;
A06.0,DISENTERIA AMEBIANA AGUDA;
A06.1,AMEBIASIS INTESTINAL CRONICA;
A06.2,COLITIS AMEBIANA NO DISENTERICA;
A06.3,AMEBOMA INTESTINAL;
A06.4,ABSCESO AMEBIANO DEL HIGADO;
A06.5,ABSCESO AMEBIANO DEL PULMON;
A06.6,ABSCESO AMEBIANO DEL CEREBRO;
A06.7,AMEBIASIS CUTANEA;
A06.8,INFECCION AMEBIANA DE OTRAS LOCALIZACIONES;
A06.9,AMEBIASIS, NO ESPECIFICADA;
A07.0,Balantidiasis;
A07.1,Giardiasis [lambliasis];
A07.2,Criptosporidiosis;
A07.3,Isosporiasis;
A07.8,Otras enfermedades inatestinales espedcificadas debiadas a;
"A07.9,""Enfermedaed intestinal deibida a protozoaorios, no S""";
A08.2,Eenteritis debida a adenovirus;
A08.3,Otras enteritis virales;
"A08.4,""Infección intestinal viral, sin otra especificación""";
A08.5,Otras infecciones intestinales especificadas;
A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO;
A09X,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO;
A09.0,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO;
A09.9,GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO;
A15.0,TUBERCULOSIS DEL PULMON, CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO;
A15.1,TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO;
A15.2,TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE;
A15.3,TUBERCULOSIS DEL PULMON, CONFIRMADA POR MEDIOS NO ESPECIFICADOS;
A15.4,TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;
A15.5,TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;
A15.6,PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;
A15.7,TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;
A15.8,OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE;
A15.9,TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;
A16.0,TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS;
"A16.1,""Tuberculosis del pulmón, sin examien bacteriológico e""";
